           S         I            R           V          E
1   990000.0  5000.000     0.000000    0.000000   5000.000
2   988475.3  5143.683    -9.004973    5.080746   6384.928
3   986950.2  5289.766   -18.022968   10.324408   7767.710
4   985424.7  5438.306   -27.058865   15.733258   9148.347
5   983898.6  5589.372   -36.118539   21.310045  10526.836
6   982371.9  5743.026   -45.207482   27.057358  11903.177
7   980844.7  5899.334   -54.331308   32.977849  13277.369
8   979316.6  6058.363   -63.495835   39.074290  14649.410
9   977787.9  6220.182   -72.707007   45.349524  16019.299
10  976258.3  6384.861   -81.970903   51.806475  17387.034
11  974727.8  6552.474   -91.293748   58.448153  18752.614
12  973196.3  6723.093  -100.681903   65.277645  20116.037
13  971663.7  6896.794  -110.141898   72.298139  21477.302
14  970130.1  7073.655  -119.680408   79.512906  22836.406
15  968595.3  7253.756  -129.304261   86.925308  24193.347
16  967059.2  7437.176  -139.020449   94.538802  25548.124
17  965521.7  7623.999  -148.836128  102.356942  26900.734
18  963982.9  7814.311  -158.758623  110.383379  28251.175
19  962442.5  8008.198  -168.795430  118.621867  29599.444
20  960900.6  8205.748  -178.954223  127.076259  30945.539
21  959357.0  8407.053  -189.242856  135.750518  32289.456
22  957811.6  8612.207  -199.669365  144.648712  33631.194
23  956264.4  8821.303  -210.241979  153.775020  34970.749
24  954715.3  9034.440  -220.969116  163.133735  36308.118
25  953164.1  9251.716  -231.859395  172.729264  37643.298
26  951610.8  9473.234  -242.921635  182.566133  38976.286
27  950055.3  9699.098  -254.164861  192.648988  40307.077
28  948497.5  9929.414  -265.598310  202.982599  41635.669
29  946937.3 10164.290  -277.231436  213.571862  42962.057
30  945374.6 10403.839  -289.073911  224.421803  44286.238
31  943809.2 10648.173  -301.135635  235.537578  45608.207
32  942241.1 10897.409  -313.426736  246.924479  46927.960
33  940670.2 11151.665  -325.957582  258.587936  48245.493
34  939096.3 11411.063  -338.738777  270.533520  49560.801
35  937519.4 11675.726  -351.781173  282.766947  50873.879
36  935939.3 11945.782  -365.095874  295.294077  52184.722
37  934355.9 12221.358  -378.694241  308.120923  53493.326
38  932769.1 12502.588  -392.587895  321.253651  54799.685
39  931178.7 12789.606  -406.788728  334.698585  56103.792
40  929584.7 13082.550  -421.308904  348.462207  57405.644
41  927986.8 13381.560  -436.160865  362.551164  58705.234
