           S         I           R          V          E
1   990000.0  5000.000     0.00000    0.00000   5000.000
2   988475.3  5142.527   -15.47209   12.69341   6384.920
3   986950.3  5287.139   -30.89317   25.77666   7767.680
4   985424.9  5433.885   -46.27085   39.25452   9148.277
5   983898.9  5582.822   -61.61435   53.13282  10526.712
6   982372.5  5734.005   -76.93215   67.41695  11902.981
7   980845.5  5887.488   -92.23300   82.11250  13277.085
8   979317.9  6043.331  -107.52595   97.22529  14649.020
9   977789.7  6201.592  -122.82023  112.76129  16018.785
10  976260.7  6362.330  -138.12526  128.72661  17386.379
11  974730.9  6525.608  -153.45070  145.12758  18751.800
12  973200.3  6691.489  -168.80641  161.97065  20115.045
13  971668.8  6860.037  -184.20248  179.26249  21476.112
14  970136.3  7031.319  -199.64926  197.00996  22834.999
15  968602.8  7205.403  -215.15728  215.22006  24191.705
16  967068.3  7382.356  -230.73735  233.90004  25546.226
17  965532.5  7562.252  -246.40052  253.05730  26898.560
18  963995.6  7745.161  -262.15807  272.69947  28248.704
19  962457.4  7931.158  -278.02158  292.83438  29596.655
20  960917.8  8120.320  -294.00284  313.47007  30942.412
21  959376.8  8312.723  -310.11396  334.61478  32285.970
22  957834.3  8508.448  -326.36730  356.27700  33627.328
23  956290.3  8707.575  -342.77550  378.46543  34966.480
24  954744.5  8910.188  -359.35150  401.18900  36303.425
25  953197.1  9116.371  -376.10853  424.45687  37638.159
26  951647.9  9326.212  -393.06014  448.27847  38970.678
27  950096.8  9539.800  -410.22015  472.66344  40300.979
28  948543.7  9757.224  -427.60272  497.62169  41629.057
29  946988.6  9978.579  -445.22235  523.16340  42954.909
30  945431.3 10203.959  -463.09384  549.29900  44278.531
31  943871.8 10433.460  -481.23234  576.03918  45599.918
32  942310.0 10667.183  -499.65335  603.39493  46919.067
33  940745.8 10905.229  -518.37271  631.37751  48235.971
34  939179.1 11147.700  -537.40664  659.99847  49550.628
35  937609.8 11394.704  -556.77170  689.26964  50863.031
36  936037.8 11646.347  -576.48485  719.20317  52173.176
37  934463.0 11902.741  -596.56343  749.81152  53481.058
38  932885.2 12163.999  -617.02517  781.10744  54786.672
39  931304.5 12430.234  -637.88820  813.10402  56090.011
40  929720.7 12701.566  -659.17105  845.81469  57391.070
41  928133.7 12978.114  -680.89270  879.25318  58689.843
42  926543.3 13260.001  -703.07251  913.43359  59986.325
43  924949.5 13547.353  -725.73033  948.37035  61280.509
44  923352.1 13840.296  -748.88641  984.07826  62572.388
45  921751.1 14138.962  -772.56147 1020.57249  63861.956
46  920146.2 14443.484  -796.77672 1057.86856  65149.206
47  918537.4 14753.997  -821.55379 1095.98238  66434.132
48  916924.6 15070.641  -846.91485 1134.93026  67716.725
49  915307.6 15393.556  -872.88253 1174.72888  68996.978
50  913686.3 15722.888  -899.47996 1215.39533  70274.885
51  912060.6 16058.783  -926.73081 1256.94714  71550.436
52  910430.2 16401.392  -954.65924 1299.40222  72823.624
53  908795.2 16750.868  -983.28998 1342.77893  74094.440
54  907155.3 17107.367 -1012.64828 1387.09606  75362.876
55  905510.4 17471.048 -1042.75995 1432.37285  76628.924
56  903860.4 17842.074 -1073.65137 1478.62898  77892.573
57  902205.0 18220.609 -1105.34949 1525.88462  79153.815
58  900544.3 18606.823 -1137.88186 1574.16038  80412.640
59  898877.9 19000.888 -1171.27662 1623.47738  81669.039
60  897205.7 19402.977 -1205.56253 1673.85721  82923.001
